1,Destination,Route,Towards,Notes,Au
From,Monobiel Parkplatz,232,Monobiel Parkplatz,Monday - Saturday only; no service public holidays,06:04
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,Monday - Saturday only; no service public holidays,06:39
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,07:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,07:47
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,08:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,08:47
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,09:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,09:47
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,10:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,10:47
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,11:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,11:17
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,11:47
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,12:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,12:47
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,13:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,13:47
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,14:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,14:47
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,15:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,15:47
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,16:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,16:47
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,17:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,17:47
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,18:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,18:53
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,19:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,19:53
