1,Destination,Route,Towards,Notes,Bir Legi
From,Monobiel Parkplatz,232,Monobiel Parkplatz,Monday - Saturday only; no service public holidays,06:07
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,Monday - Saturday only; no service public holidays,06:12
From,Monobiel Parkplatz,232,Monobiel Parkplatz,Monday - Saturday only; no service public holidays,06:32
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,Monday - Saturday only; no service public holidays,06:37
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,07:10
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,07:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,07:40
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,07:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,08:10
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,08:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,08:40
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,08:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,09:10
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,09:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,09:40
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,09:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,10:10
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,10:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,10:40
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,10:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,11:10
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,11:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,11:40
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,11:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,12:10
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,12:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,12:40
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,12:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,13:10
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,13:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,13:40
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,13:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,14:10
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,14:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,14:40
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,14:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,15:10
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,15:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,15:40
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,15:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,16:10
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,16:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,16:40
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,16:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,17:10
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,17:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,17:40
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,17:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,18:10
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,18:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,19:10
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,19:15
