1,Destination,Route,Towards,Notes,Brachweg
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),Monday - Saturday only; no service public holidays,06:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,Monday - Saturday only; no service public holidays,06:28
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,07:19
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,07:36
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,08:19
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,08:36
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,09:19
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,09:36
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,10:19
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,10:36
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,11:36
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,12:19
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,12:36
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,13:19
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,13:36
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,14:19
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,14:36
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,15:19
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,15:36
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,16:19
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,16:36
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,17:19
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,17:36
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,18:19
From,Aeuja Post,232,Aeuja Post,No,18:49
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,19:19
From,Aeuja Post,232,Aeuja Post,No,19:49
