1,Destination,Route,Towards,Notes,Bundelti
From,Monobiel Parkplatz,232,Monobiel Parkplatz,Monday - Saturday only; no service public holidays,06:06
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,Monday - Saturday only; no service public holidays,06:13
From,Monobiel Parkplatz,232,Monobiel Parkplatz,Monday - Saturday only; no service public holidays,06:31
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,Monday - Saturday only; no service public holidays,06:38
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,07:09
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,07:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,07:39
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,07:46
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,08:09
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,08:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,08:39
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,08:46
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,09:09
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,09:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,09:39
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,09:46
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,10:09
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,10:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,10:39
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,10:46
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,11:09
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,11:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,11:39
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,11:46
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,12:09
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,12:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,12:39
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,12:46
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,13:09
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,13:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,13:39
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,13:46
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,14:09
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,14:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,14:39
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,14:46
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,15:09
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,15:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,15:39
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,15:46
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,16:09
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,16:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,16:39
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,16:46
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,17:09
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,17:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,17:39
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,17:46
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,18:09
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,18:16
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,19:09
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,19:16
