1,Destination,Route,Towards,Notes,Bundnerhof
To,Klosters Platz - Station,232,Klosters Platz - Station,Monday - Saturday only; no service public holidays,06:18
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,Monday - Saturday only; no service public holidays,06:27
To,Klosters Platz - Station,232,Klosters Platz - Station,No,07:21
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,07:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,08:21
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,08:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,09:21
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,09:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,10:21
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,10:35
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,11:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,12:21
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,12:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,13:32
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,13:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,14:21
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,14:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,15:21
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,15:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,16:21
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,16:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,17:21
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,17:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,18:21
From,Aeuja Post:Via Sportzentrum (for skilift Selfranga),232,Sportzentrum (for skilift Selfranga):Aeuja Post,No,18:48
To,Klosters Platz - Station,232,Klosters Platz - Station,No,19:21
From,Aeuja Post:Via Sportzentrum (for skilift Selfranga),232,Sportzentrum (for skilift Selfranga):Aeuja Post,No,19:48
