1,Destination,Route,Towards,Notes,Eggarain
From,Oberselfranga,234,Oberselfranga,No,06:40
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,06:43
From,Oberselfranga,234,Oberselfranga,No,07:44
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,07:48
From,Oberselfranga,234,Oberselfranga,No,08:36
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,08:40
From,Oberselfranga,234,Oberselfranga,No,09:36
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,09:40
From,Oberselfranga,234,Oberselfranga,No,10:36
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,10:40
From,Oberselfranga,234,Oberselfranga,No,11:36
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,11:40
From,Oberselfranga,234,Oberselfranga,No,11:48
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,11:52
From,Oberselfranga,234,Oberselfranga,No,12:36
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,12:40
From,Oberselfranga,234,Oberselfranga,No,13:36
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,13:40
From,Oberselfranga,234,Oberselfranga,No,14:36
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,14:40
From,Oberselfranga,234,Oberselfranga,No,15:36
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,15:40
From,Oberselfranga,234,Oberselfranga,No,16:36
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,16:40
From,Oberselfranga,234,Oberselfranga,No,17:36
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,17:40
From,Oberselfranga,234,Oberselfranga,No,18:36
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,18:40
From,Oberselfranga,234,Oberselfranga,No,19:36
To,Klosters Platz - Station,234,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,19:40
