1,Destination,Route,Towards,Notes,Fuchsfarm
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,07:44
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,07:53
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,08:34
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,08:43
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,09:44
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,09:53
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,12:09
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,12:18
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,13:24
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,13:34
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,16:04
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,16:13
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,16:44
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,16:53
