1,Destination,Route,Towards,Notes,Gotschnastrasse
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,Monday - Saturday only; no service public holidays,06:01
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,Monday - Saturday only; no service public holidays,06:26
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis. Through connection to Landquart is weekdays only and not availbe on public holidays.,06:31
From,Oberselfranga,234,Oberselfranga,No,06:38
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:04
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,07:04
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:34
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,07:34
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,07:41
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,07:41
From,Oberselfranga,234,Oberselfranga,No,07:42
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,07:56
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:04
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,08:04
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,08:11
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,08:26
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,08:31
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:34
From,Oberselfranga,234,Oberselfranga,No,08:34
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,08:34
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,08:41
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,08:56
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:04
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,09:04
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,09:11
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,09:26
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:34
From,Oberselfranga,234,Oberselfranga,No,09:34
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,09:34
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,09:41
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,09:41
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,09:56
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,10:04
