1,Destination,Route,Towards,Notes,Hohwald
From,Monobiel Parkplatz,232,Monobiel Parkplatz,Monday - Saturday only; no service public holidays,06:08
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,Monday - Saturday only; no service public holidays,06:12
From,Monobiel Parkplatz,232,Monobiel Parkplatz,Monday - Saturday only; no service public holidays,06:33
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,Monday - Saturday only; no service public holidays,06:37
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,07:11
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,07:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,07:41
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,07:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,08:11
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,08:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,08:41
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,08:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,09:11
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,09:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,09:41
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,09:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,10:11
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,10:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,10:41
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,10:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,11:11
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,11:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,11:41
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,11:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,12:11
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,12:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,12:41
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,12:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,13:11
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,13:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,13:41
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,13:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,14:11
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,14:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,14:41
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,14:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,15:11
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,15:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,15:41
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,15:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,16:11
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,16:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,16:41
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,16:45
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,17:11
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,17:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,17:41
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,17:44
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,18:11
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,No,18:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,19:11
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,19:15
