1,Destination,Route,Towards,Notes,Kirchplatz
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No service Sundays or public holidays.,06:16
To,Klosters Platz - Station,231,Klosters Platz - Station,No,06:26
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis. Through connection to Landquart is weekdays only and not availbe on public holidays.,06:31
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos not availible on weekends or public holidays.,06:53
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:04
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,07:16
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:34
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,07:41
To,Klosters Platz - Station,231,Klosters Platz - Station,No,07:46
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,07:56
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,07:56
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:04
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,08:11
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,08:11
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,08:16
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,08:26
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,08:26
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:34
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,08:41
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,08:41
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,08:46
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,08:56
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,08:56
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:04
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,09:11
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,09:11
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,09:16
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,09:26
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,09:26
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:34
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,09:41
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,09:41
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,09:46
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,09:56
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,09:56
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,10:04
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,10:11
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,10:11
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,10:16
