1,Destination,Route,Towards,Notes,Klosters Platz - Station
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,Monday - Saturday only; no service public holidays,06:00
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,Monday - Saturday only; no service public holidays,06:25
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis. Through connection to Landquart is weekdays only and not availbe on public holidays.,06:30
From,Oberselfranga,234,Oberselfranga,No,06:37
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,07:03
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:03
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,07:33
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:33
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,07:40
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,07:40
From,Oberselfranga,234,Oberselfranga,No,07:41
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,07:55
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,08:03
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:03
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,08:10
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,08:25
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,08:30
From,Oberselfranga,234,Oberselfranga,No,08:33
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,08:33
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:33
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,08:40
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,08:55
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,09:03
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:03
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,09:10
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,09:25
From,Oberselfranga,234,Oberselfranga,No,09:33
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,09:33
