1,Destination,Route,Towards,Notes,KublisDorfplatz
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel. No service Sundays or public holidays.,05:48
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,06:48
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:Via Saas,231,Klosters Platz - Station:Serneus:Dorf:Bad,Lift passes and guest cards not accepted for travel. Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept.,07:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,07:48
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf:Bad,Lift passes and guest cards not accepted for travel. Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept. Connection to Davos 24 Dec - 11 Mar only.,08:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,08:48
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf:Bad,Lift passes and guest cards not accepted for travel. Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept.,09:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,09:48
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel. Connection to Davos 24 Dec - 11 Mar only.,10:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,10:48
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,11:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,11:48
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel. Connection to Davos 24 Dec - 11 Mar only.,12:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,12:48
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,13:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,13:48
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel. Connection to Davos 24 Dec - 11 Mar only.,14:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,14:48
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,15:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,15:48
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel. Connection to Davos 24 Dec - 11 Mar only.,16:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,16:48
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,17:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,17:48
To,Serneus Dorf: Via Serneus:Via Saas,231,Serneus:Dorf,Lift passes and guest cards not accepted for travel.,18:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,18:48
To,Serneus Dorf: Via Serneus:Via Saas,231,Serneus:Dorf,Lift passes and guest cards not accepted for travel.,19:18
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,19:48
To,Serneus Dorf: Via Serneus:Via Saas,231,Serneus:Dorf,Lift passes and guest cards not accepted for travel.,20:18
