1,Destination,Route,Towards,Notes,Kublis
From,St Antonien (Ruti),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel.,06:16
From,Pany (Dorf),222,Pany,Lift passes and guest cards not accepted for travel. Runs; 12-23 December 9 Jan-24 Feb 6 March-21 April and 8 May-30 June only.,06:39
From,Pany (Dorf),222,Pany,Lift passes and guest cards not accepted for travel. Runs; 12-23 December 9 Jan-24 Feb 6 March-21 April and 8 May-30 June only.,07:18
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,07:27
From,St Antonien (Ruti),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel.,08:18
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,08:27
From,St Antonien (Ruti),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel.,09:18
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,09:27
From,St Antonien (Ruti),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel.,10:18
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,10:27
From,St Antonien (Platz),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel. Monday-Friday only; no service public holiday.,11:15
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,11:27
From,St Antonien (Platz),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel.,12:15
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,12:27
From,St Antonien (Platz),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel.,13:18
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,13:27
From,St Antonien (Ruti),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel.,14:18
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,14:27
From,St Antonien (Platz),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel.,15:15
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,15:27
From,St Antonien (Ruti),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel.,16:18
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,16:27
From,St Antonien (Platz),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel. Service runs Mondays Tuesdays Thursdays and Fridays during the following dates only; 12-23 December 9 Jan-24 Feb 6 March-21 April and 8 May-30 June only.,17:15
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,17:27
From,St Antonien (Ruti),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel.,18:18
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,18:27
From,St Antonien (Ruti),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel. Reservation compulsory; available free from Kublis station or by phoning 081 420 20 20 by 19:00,19:18
From,Schiers:Via Fideris (For Heuberge ski resort):(Landquart):(Klosters Platz),221,Schiers:Fideris:Klosters Platz - Station,Lift passes and guest cards not accepted for travel.,19:27
From,St Antonien (Ruti),222,St Antonien:Pany,Lift passes and guest cards not accepted for travel. Reservation compulsory; available free from Kublis station or by phoning 079 642 27 48 by 19:00,19:35
