1,Destination,Route,Towards,Notes,Malcheti
From,Oberselfranga,234,Oberselfranga,No,06:41
To,Klosters Platz - Station,234,Klosters Platz - Station,No,06:43
From,Oberselfranga,234,Oberselfranga,No,07:45
To,Klosters Platz - Station,234,Klosters Platz - Station,No,07:48
From,Oberselfranga,234,Oberselfranga,No,08:37
To,Klosters Platz - Station,234,Klosters Platz - Station,No,08:40
From,Oberselfranga,234,Oberselfranga,No,09:37
To,Klosters Platz - Station,234,Klosters Platz - Station,No,09:40
From,Oberselfranga,234,Oberselfranga,No,10:37
To,Klosters Platz - Station,234,Klosters Platz - Station,No,10:40
From,Oberselfranga,234,Oberselfranga,No,11:37
To,Klosters Platz - Station,234,Klosters Platz - Station,No,11:40
From,Oberselfranga,234,Oberselfranga,No,11:49
To,Klosters Platz - Station,234,Klosters Platz - Station,No,11:52
From,Oberselfranga,234,Oberselfranga,No,12:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,12:40
From,Oberselfranga,234,Oberselfranga,No,13:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,13:40
From,Oberselfranga,234,Oberselfranga,No,14:37
To,Klosters Platz - Station,234,Klosters Platz - Station,No,14:40
From,Oberselfranga,234,Oberselfranga,No,15:37
To,Klosters Platz - Station,234,Klosters Platz - Station,No,15:40
From,Oberselfranga,234,Oberselfranga,No,16:37
To,Klosters Platz - Station,234,Klosters Platz - Station,No,16:40
From,Oberselfranga,234,Oberselfranga,No,17:37
To,Klosters Platz - Station,234,Klosters Platz - Station,No,17:40
From,Oberselfranga,234,Oberselfranga,No,18:37
To,Klosters Platz - Station,234,Klosters Platz - Station,No,18:40
From,Oberselfranga,234,Oberselfranga,No,19:37
To,Klosters Platz - Station,234,Klosters Platz - Station,No,19:40
