1,Destination,Route,Towards,Notes,Nutlihuschi
From,Monobiel Parkplatz,232,Monobiel Parkplatz,Monday - Saturday only; no service public holidays,06:02
To,Klosters Platz - Station,232,Klosters Platz - Station,Monday - Saturday only; no service public holidays,06:42
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,07:05
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,07:42
To,Klosters Platz - Station,232,Klosters Platz - Station,No,07:50
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,07:55
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,08:05
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,08:32
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,08:45
To,Klosters Platz - Station,232,Klosters Platz - Station,No,08:50
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,09:05
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,09:42
To,Klosters Platz - Station,232,Klosters Platz - Station,No,09:50
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,09:55
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,10:05
To,Klosters Platz - Station,232,Klosters Platz - Station,No,10:50
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,11:05
To,Klosters Platz - Station,232,Klosters Platz - Station,No,11:20
To,Klosters Platz - Station,232,Klosters Platz - Station,No,11:50
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,12:05
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,12:07
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,12:20
To,Klosters Platz - Station,232,Klosters Platz - Station,No,12:50
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,13:05
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,13:22
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,13:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,13:50
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,14:05
To,Klosters Platz - Station,232,Klosters Platz - Station,No,14:50
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,15:05
To,Klosters Platz - Station,232,Klosters Platz - Station,No,15:50
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,16:02
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,16:05
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:15
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,16:42
To,Klosters Platz - Station,232,Klosters Platz - Station,No,16:50
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:55
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,17:05
To,Klosters Platz - Station,232,Klosters Platz - Station,No,17:50
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,18:05
To,Klosters Platz - Station,232,Klosters Platz - Station,No,18:56
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,19:05
To,Klosters Platz - Station,232,Klosters Platz - Station,No,19:56
