1,Destination,Route,Towards,Notes,Oberselfranga
To,Klosters Platz - Station,234,Klosters Platz - Station,No,06:42
To,Klosters Platz - Station,234,Klosters Platz - Station,No,07:47
To,Klosters Platz - Station,234,Klosters Platz - Station,No,08:39
To,Klosters Platz - Station,234,Klosters Platz - Station,No,09:39
To,Klosters Platz - Station,234,Klosters Platz - Station,No,10:39
To,Klosters Platz - Station,234,Klosters Platz - Station,No,11:39
To,Klosters Platz - Station,234,Klosters Platz - Station,No,11:51
To,Klosters Platz - Station,234,Klosters Platz - Station,No,12:39
To,Klosters Platz - Station,234,Klosters Platz - Station,No,13:39
To,Klosters Platz - Station,234,Klosters Platz - Station,No,14:39
To,Klosters Platz - Station,234,Klosters Platz - Station,No,15:39
To,Klosters Platz - Station,234,Klosters Platz - Station,No,16:39
To,Klosters Platz - Station,234,Klosters Platz - Station,No,17:39
To,Klosters Platz - Station,234,Klosters Platz - Station,No,18:39
To,Klosters Platz - Station,234,Klosters Platz - Station,No,19:39
