1,Destination,Route,Towards,Notes,Pagrueg
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Monday to Saturday only - no service on public holidays,05:24
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,06:24
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Through connection to Landquart is weekdays only and not availbe on public holidays.,06:51
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,07:24
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,07:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,08:24
From,Kublis:Via Saas,231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,08:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,09:24
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,09:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,10:24
From,Kublis:Via Saas,231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,10:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,11:24
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,11:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,12:24
From,Kublis:Via Saas,231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,12:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,13:24
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,13:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,14:24
From,Kublis:Via Saas,231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,14:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,15:24
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,15:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,16:24
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,16:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,17:24
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,17:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,18:24
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,18:54
From,Kublis:Via Saas,231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,19:54
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,20:24
