1,Destination,Route,Towards,Notes,Pardels
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,07:45
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,07:52
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,08:35
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,08:42
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,09:45
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,09:52
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,12:10
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,12:17
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,13:25
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,13:32
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,16:05
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,16:12
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,16:45
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,16:52
