1,Destination,Route,Towards,Notes,Prada
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel. Monday to Saturday only - no service on public holidays.,05:30
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,06:30
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,06:57
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel. Through connection to Landquart is weekdays only and not availbe on public holidays.,07:30
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,08:00
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,08:30
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,09:00
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,09:30
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,10:00
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,10:30
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,11:00
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,11:30
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,12:00
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,12:30
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,13:00
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,13:30
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,14:00
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,14:30
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,15:00
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,15:30
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,16:00
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,16:30
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,17:00
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,17:30
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,18:00
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,18:30
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,19:00
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,20:00
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,20:30
