1,Destination,Route,Towards,Notes,RE-Zentrale (Kraftwerk)
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),Monday - Saturday only; no service public holidays,06:15
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,Monday - Saturday only; no service public holidays,06:29
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,07:18
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,07:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,08:18
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,08:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,09:18
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,09:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,10:18
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,10:37
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,11:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,12:18
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,12:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,13:18
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,13:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,14:18
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,14:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,15:18
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,15:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,16:18
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,16:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,17:18
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,17:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,18:18
From,Aeuja Post,232,Aeuja Post,No,18:50
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,19:18
From,Aeuja Post,232,Aeuja Post,No,19:50
