1,Destination,Route,Towards,Notes,SaasDorfplatz
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel. Monday to Saturday only - no service on public holidays,05:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. No service Sundays or public holidays.,05:53
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,06:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Connection to Davos not availible on weekends or public holidays.,06:30
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,06:53
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel. Through connection to Landquart is weekdays only and not availbe on public holidays.,06:56
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad,231,Klosters Platz - Station:Serneus:Dorf:Bad,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept.,07:23
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,07:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,07:53
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,07:59
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:(Davos),231,Klosters Platz - Station:Serneus:Dorf:Bad,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept. Connection to Davos 24 Dec - 11 Mar only.,08:23
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,08:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,08:53
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,08:59
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:(Davos),231,Klosters Platz - Station:Serneus:Dorf:Bad,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept.,09:23
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,09:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,09:53
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,09:59
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Connection to Davos 24 Dec - 11 Mar only.,10:23
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,10:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,10:53
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,10:59
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,11:23
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,11:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,11:53
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,11:59
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Connection to Davos 24 Dec - 11 Mar only.,12:23
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,12:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,12:53
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,12:59
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,13:23
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,13:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,13:53
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,13:59
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Connection to Davos 24 Dec - 11 Mar only.,14:23
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,14:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,14:53
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,14:59
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,15:23
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,15:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,15:53
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,15:59
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Connection to Davos 24 Dec - 11 Mar only.,16:23
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,16:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,16:53
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,16:59
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,17:23
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,17:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,17:53
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,17:59
To,Serneus Dorf: Via Serneus,231,Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,18:23
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,18:29
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,18:53
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,18:59
To,Serneus Dorf: Via Serneus,231,Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,19:23
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,19:53
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,19:59
To,Serneus Dorf: Via Serneus,231,Serneus:Dorf,Lift passes not accepted for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,20:23
