1,Destination,Route,Towards,Notes,Soldanella
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,07:43
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,07:54
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,08:33
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,08:44
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,09:43
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,09:54
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,12:08
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,12:19
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,13:23
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,13:34
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,16:03
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,16:14
From,Russna,237,Russna,Service runs from the 23rd of December to the 26th March only,16:43
To,Klosters Platz - Station,237,Klosters Platz - Station:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,16:54
