1,Destination,Route,Towards,Notes,Sportzentrum (for skilift Selfranga)
To,Klosters Platz - Station,232,Klosters Platz - Station,Monday - Saturday only; no service public holidays,06:17
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,Monday - Saturday only; no service public holidays,06:27
To,Klosters Platz - Station,232,Klosters Platz - Station,No,07:20
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,07:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,08:20
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,08:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,09:20
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,09:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,10:20
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,10:35
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,11:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,12:20
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,12:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,13:20
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,13:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,14:20
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,14:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,15:20
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,15:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,16:20
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,16:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,17:20
From,Monobiel Parkplatz,232,Monobiel Parkplatz:Aeuja Post,No,17:35
To,Klosters Platz - Station,232,Klosters Platz - Station,No,18:20
From,Aeuja Post,232,Aeuja Post,No,18:48
To,Klosters Platz - Station,232,Klosters Platz - Station,No,19:20
From,Aeuja Post,232,Aeuja Post,No,19:48
