1,Destination,Route,Towards,Notes,UfmRied
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel. Monday to Saturday only - no service on public holidays.,05:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel. No service Sundays or public holidays.,05:51
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,06:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,06:51
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel. Through connection to Landquart is weekdays only and not availbe on public holidays.,06:56
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:Via Saas,231,Klosters Platz - Station:Serneus:Dorf:Bad,Lift passes and guest cards not accepted for travel. Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept.,07:21
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,07:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,07:51
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,07:59
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf:Bad,Lift passes and guest cards not accepted for travel. Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept. Connection to Davos 24 Dec - 11 Mar only.,08:21
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,08:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,08:51
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,08:59
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf:Bad,Lift passes and guest cards not accepted for travel. Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept.,09:21
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,09:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,09:51
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,09:59
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel. Connection to Davos 24 Dec - 11 Mar only.,10:21
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,10:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,10:51
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,10:59
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,11:21
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,11:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,11:51
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,11:59
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel. Connection to Davos 24 Dec - 11 Mar only.,12:21
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,12:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,12:51
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,12:59
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,13:21
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,13:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,13:51
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,13:59
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel. Connection to Davos 24 Dec - 11 Mar only.,14:21
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,14:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,14:51
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,14:59
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,15:21
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,15:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,15:51
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,15:59
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel. Connection to Davos 24 Dec - 11 Mar only.,16:21
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,16:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,16:51
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,16:59
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,17:21
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,17:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,17:51
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,17:59
To,Serneus Dorf: Via Serneus:Via Saas,231,Serneus:Dorf,Lift passes and guest cards not accepted for travel.,18:21
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,18:29
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,18:51
From,Kublis:(Landquart),231,Kublis,Lift passes and guest cards not accepted for travel.,18:59
To,Serneus Dorf: Via Serneus:Via Saas,231,Serneus:Dorf,Lift passes and guest cards not accepted for travel.,19:21
To,Klosters Platz - Station:Via Serneus:Via Saas:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Lift passes and guest cards not accepted for travel.,19:51
From,Kublis,231,Kublis,Lift passes and guest cards not accepted for travel.,19:59
